[08:00] Machine= M01, Status=RUNNING, Temp= 35, Pressure= 60-> Temperature Alarm
[2026-05-21 21:31:27] Machine= M01, Status=RUNNING, Temp= 37, Pressure= 76-> Temperature Alarm
[2026-05-21 21:31:27] Machine= M06, Status=STOPPED, Temp= 32, Pressure= 66-> Machine Stopped
[2026-05-21 21:31:27] Machine= M03, Status=STOPPED, Temp= 37, Pressure= 83-> Machine Stopped
[2026-05-21 21:31:27] Machine= M03, Status=RUNNING, Temp= 25, Pressure= 51-> Ok
[2026-05-21 21:31:27] Machine= M01, Status=STOPPED, Temp= 24, Pressure= 87-> Machine Stopped
[2026-05-21 21:31:27] Machine= M05, Status=RUNNING, Temp= 36, Pressure= 55-> Temperature Alarm
[2026-05-21 21:31:27] Machine= M05, Status=RUNNING, Temp= 35, Pressure= 67-> Temperature Alarm
[2026-05-21 21:31:27] Machine= M01, Status=RUNNING, Temp= 21, Pressure= 48-> Low Pressure
[2026-05-21 21:31:27] Machine= M06, Status=RUNNING, Temp= 21, Pressure= 83-> Ok
[2026-05-21 21:32:09] Machine= M04, Status=STOPPED, Temp= 26, Pressure= 78-> Machine Stopped
[2026-05-21 21:32:09] Machine= M04, Status=RUNNING, Temp= 50, Pressure= 52-> CRITICAL Temperature Alarm
[2026-05-21 21:32:09] Machine= M06, Status=STOPPED, Temp= 23, Pressure= 47-> Machine Stopped
[2026-05-21 21:32:09] Machine= M04, Status=STOPPED, Temp= 24, Pressure= 62-> Machine Stopped
[2026-05-21 21:32:09] Machine= M04, Status=RUNNING, Temp= 42, Pressure= 66-> CRITICAL Temperature Alarm
[2026-05-21 21:32:09] Machine= M04, Status=RUNNING, Temp= 24, Pressure= 62-> Ok
[2026-05-21 21:32:09] Machine= M01, Status=RUNNING, Temp= 22, Pressure= 73-> Ok
[2026-05-21 21:32:09] Machine= M06, Status=RUNNING, Temp= 46, Pressure= 70-> CRITICAL Temperature Alarm
[2026-05-21 21:32:09] Machine= M02, Status=RUNNING, Temp= 35, Pressure= 63-> Temperature Alarm
[2026-05-21 21:32:09] Machine= M06, Status=STOPPED, Temp= 37, Pressure= 47-> Machine Stopped
[2026-05-21 21:32:09] Machine= M02, Status=STOPPED, Temp= 42, Pressure= 58-> Machine Stopped
[2026-05-21 21:32:09] Machine= M04, Status=RUNNING, Temp= 22, Pressure= 49-> Low Pressure
[2026-05-21 21:32:09] Machine= M06, Status=STOPPED, Temp= 39, Pressure= 72-> Machine Stopped
[2026-05-21 21:32:09] Machine= M04, Status=STOPPED, Temp= 31, Pressure= 48-> Machine Stopped
[2026-05-21 21:32:09] Machine= M06, Status=RUNNING, Temp= 29, Pressure= 81-> Ok
[2026-05-21 21:32:09] Machine= M06, Status=RUNNING, Temp= 49, Pressure= 64-> CRITICAL Temperature Alarm
[2026-05-21 21:32:09] Machine= M04, Status=RUNNING, Temp= 45, Pressure= 71-> CRITICAL Temperature Alarm
[2026-05-21 21:32:09] Machine= M05, Status=RUNNING, Temp= 46, Pressure= 55-> CRITICAL Temperature Alarm
[2026-05-21 21:32:09] Machine= M01, Status=RUNNING, Temp= 28, Pressure= 41-> Low Pressure
[2026-05-21 21:32:09] Machine= M02, Status=RUNNING, Temp= 35, Pressure= 66-> Temperature Alarm
[2026-05-21 21:32:49] Machine= M03, Status=STOPPED, Temp= 36, Pressure= 56-> Machine Stopped
[2026-05-21 21:32:49] Machine= M06, Status=RUNNING, Temp= 43, Pressure= 52-> CRITICAL Temperature Alarm
[2026-05-21 21:32:49] Machine= M01, Status=STOPPED, Temp= 20, Pressure= 47-> Machine Stopped
[2026-05-21 21:32:49] Machine= M01, Status=STOPPED, Temp= 34, Pressure= 78-> Machine Stopped
[2026-05-21 21:32:49] Machine= M01, Status=RUNNING, Temp= 31, Pressure= 44-> Temperature Alarm
[2026-05-21 21:32:49] Machine= M02, Status=RUNNING, Temp= 22, Pressure= 68-> Ok
[2026-05-21 21:32:49] Machine= M02, Status=RUNNING, Temp= 34, Pressure= 78-> Temperature Alarm
[2026-05-21 21:32:49] Machine= M02, Status=STOPPED, Temp= 45, Pressure= 51-> Machine Stopped
[2026-05-21 21:32:49] Machine= M03, Status=RUNNING, Temp= 37, Pressure= 79-> Temperature Alarm
[2026-05-21 21:32:49] Machine= M06, Status=STOPPED, Temp= 47, Pressure= 84-> Machine Stopped
[2026-05-21 21:32:49] Machine= M05, Status=RUNNING, Temp= 34, Pressure= 77-> Temperature Alarm
[2026-05-21 21:32:49] Machine= M01, Status=RUNNING, Temp= 43, Pressure= 72-> CRITICAL Temperature Alarm
[2026-05-21 21:32:49] Machine= M03, Status=STOPPED, Temp= 45, Pressure= 76-> Machine Stopped
[2026-05-21 21:32:49] Machine= M02, Status=STOPPED, Temp= 50, Pressure= 58-> Machine Stopped
[2026-05-21 21:32:49] Machine= M06, Status=STOPPED, Temp= 34, Pressure= 48-> Machine Stopped
[2026-05-21 21:32:49] Machine= M06, Status=STOPPED, Temp= 27, Pressure= 59-> Machine Stopped
[2026-05-21 21:32:49] Machine= M04, Status=RUNNING, Temp= 36, Pressure= 55-> Temperature Alarm
[2026-05-21 21:32:49] Machine= M04, Status=STOPPED, Temp= 42, Pressure= 65-> Machine Stopped
[2026-05-21 21:32:49] Machine= M06, Status=STOPPED, Temp= 29, Pressure= 53-> Machine Stopped
[2026-05-21 21:32:49] Machine= M06, Status=STOPPED, Temp= 42, Pressure= 61-> Machine Stopped
[2026-05-21 21:33:27] Machine= M02, Status=STOPPED, Temp= 30, Pressure= 78-> Machine Stopped
[2026-05-21 21:33:27] Machine= M04, Status=STOPPED, Temp= 20, Pressure= 84-> Machine Stopped
[2026-05-21 21:33:27] Machine= M03, Status=STOPPED, Temp= 45, Pressure= 44-> Machine Stopped
[2026-05-21 21:33:27] Machine= M03, Status=RUNNING, Temp= 22, Pressure= 48-> Low Pressure
[2026-05-21 21:33:27] Machine= M06, Status=RUNNING, Temp= 24, Pressure= 87-> Ok
[2026-05-21 21:33:27] Machine= M02, Status=RUNNING, Temp= 48, Pressure= 90-> CRITICAL Temperature Alarm
[2026-05-21 21:33:27] Machine= M05, Status=RUNNING, Temp= 37, Pressure= 61-> Temperature Alarm
[2026-05-21 21:33:27] Machine= M06, Status=RUNNING, Temp= 30, Pressure= 58-> Ok
[2026-05-21 21:33:27] Machine= M02, Status=STOPPED, Temp= 37, Pressure= 83-> Machine Stopped
[2026-05-21 21:33:27] Machine= M04, Status=STOPPED, Temp= 47, Pressure= 78-> Machine Stopped
[2026-05-21 21:33:27] Machine= M01, Status=STOPPED, Temp= 36, Pressure= 86-> Machine Stopped
[2026-05-21 21:33:27] Machine= M06, Status=STOPPED, Temp= 31, Pressure= 85-> Machine Stopped
[2026-05-21 21:33:27] Machine= M06, Status=STOPPED, Temp= 45, Pressure= 86-> Machine Stopped
[2026-05-21 21:33:27] Machine= M04, Status=STOPPED, Temp= 40, Pressure= 65-> Machine Stopped
[2026-05-21 21:33:27] Machine= M05, Status=STOPPED, Temp= 32, Pressure= 67-> Machine Stopped
[2026-05-21 21:33:27] Machine= M04, Status=RUNNING, Temp= 20, Pressure= 47-> Low Pressure
[2026-05-21 21:33:27] Machine= M01, Status=STOPPED, Temp= 29, Pressure= 47-> Machine Stopped
[2026-05-21 21:33:27] Machine= M04, Status=STOPPED, Temp= 32, Pressure= 78-> Machine Stopped
[2026-05-21 21:33:27] Machine= M03, Status=STOPPED, Temp= 29, Pressure= 46-> Machine Stopped
[2026-05-21 21:33:27] Machine= M06, Status=RUNNING, Temp= 39, Pressure= 73-> Temperature Alarm
[2026-05-21 21:37:18] Machine= M01, Status=STOPPED, Temp= 35, Pressure= 46-> Machine Stopped
[2026-05-21 21:37:18] Machine= M06, Status=STOPPED, Temp= 43, Pressure= 47-> Machine Stopped
[2026-05-21 21:37:18] Machine= M02, Status=STOPPED, Temp= 44, Pressure= 52-> Machine Stopped
[2026-05-21 21:37:18] Machine= M04, Status=RUNNING, Temp= 45, Pressure= 50-> CRITICAL Temperature Alarm
[2026-05-21 21:37:18] Machine= M02, Status=STOPPED, Temp= 21, Pressure= 73-> Machine Stopped
[2026-05-21 21:37:18] Machine= M05, Status=RUNNING, Temp= 46, Pressure= 69-> CRITICAL Temperature Alarm
[2026-05-21 21:37:18] Machine= M04, Status=RUNNING, Temp= 40, Pressure= 47-> CRITICAL Temperature Alarm
[2026-05-21 21:37:18] Machine= M01, Status=STOPPED, Temp= 44, Pressure= 41-> Machine Stopped
[2026-05-21 21:37:18] Machine= M04, Status=RUNNING, Temp= 42, Pressure= 47-> CRITICAL Temperature Alarm
[2026-05-21 21:37:18] Machine= M03, Status=STOPPED, Temp= 23, Pressure= 65-> Machine Stopped
[2026-05-21 21:37:18] Machine= M01, Status=STOPPED, Temp= 46, Pressure= 62-> Machine Stopped
[2026-05-21 21:37:18] Machine= M04, Status=STOPPED, Temp= 42, Pressure= 58-> Machine Stopped
[2026-05-21 21:37:18] Machine= M06, Status=RUNNING, Temp= 47, Pressure= 52-> CRITICAL Temperature Alarm
[2026-05-21 21:37:18] Machine= M02, Status=STOPPED, Temp= 40, Pressure= 43-> Machine Stopped
[2026-05-21 21:37:18] Machine= M02, Status=RUNNING, Temp= 35, Pressure= 46-> Temperature Alarm
[2026-05-21 21:37:18] Machine= M02, Status=STOPPED, Temp= 39, Pressure= 74-> Machine Stopped
[2026-05-21 21:37:18] Machine= M01, Status=RUNNING, Temp= 23, Pressure= 57-> Ok
[2026-05-21 21:37:18] Machine= M01, Status=STOPPED, Temp= 38, Pressure= 60-> Machine Stopped
[2026-05-21 21:37:18] Machine= M05, Status=RUNNING, Temp= 45, Pressure= 53-> CRITICAL Temperature Alarm
[2026-05-21 21:37:18] Machine= M06, Status=STOPPED, Temp= 31, Pressure= 62-> Machine Stopped
[2026-05-21 21:38:50] Machine= M06, Status=RUNNING, Temp= 24, Pressure= 47-> Low Pressure
[2026-05-21 21:38:50] Machine= M01, Status=STOPPED, Temp= 34, Pressure= 78-> Machine Stopped
[2026-05-21 21:38:50] Machine= M06, Status=STOPPED, Temp= 45, Pressure= 56-> Machine Stopped
[2026-05-21 21:38:50] Machine= M06, Status=RUNNING, Temp= 50, Pressure= 44-> CRITICAL Temperature Alarm
[2026-05-21 21:38:50] Machine= M06, Status=STOPPED, Temp= 35, Pressure= 87-> Machine Stopped
[2026-05-21 21:38:50] Machine= M03, Status=STOPPED, Temp= 42, Pressure= 69-> Machine Stopped
[2026-05-21 21:38:50] Machine= M05, Status=STOPPED, Temp= 35, Pressure= 61-> Machine Stopped
[2026-05-21 21:38:50] Machine= M02, Status=RUNNING, Temp= 40, Pressure= 54-> CRITICAL Temperature Alarm
[2026-05-21 21:38:50] Machine= M01, Status=RUNNING, Temp= 49, Pressure= 49-> CRITICAL Temperature Alarm
[2026-05-21 21:38:50] Machine= M02, Status=STOPPED, Temp= 37, Pressure= 53-> Machine Stopped
[2026-05-21 21:38:50] Machine= M04, Status=STOPPED, Temp= 34, Pressure= 58-> Machine Stopped
[2026-05-21 21:38:50] Machine= M02, Status=STOPPED, Temp= 39, Pressure= 67-> Machine Stopped
[2026-05-21 21:38:50] Machine= M03, Status=RUNNING, Temp= 27, Pressure= 77-> Ok
[2026-05-21 21:38:50] Machine= M06, Status=RUNNING, Temp= 32, Pressure= 77-> Temperature Alarm
[2026-05-21 21:38:50] Machine= M03, Status=STOPPED, Temp= 29, Pressure= 46-> Machine Stopped
[2026-05-21 21:38:50] Machine= M01, Status=STOPPED, Temp= 44, Pressure= 49-> Machine Stopped
[2026-05-21 21:38:50] Machine= M01, Status=STOPPED, Temp= 39, Pressure= 47-> Machine Stopped
[2026-05-21 21:38:50] Machine= M02, Status=RUNNING, Temp= 38, Pressure= 79-> Temperature Alarm
[2026-05-21 21:38:50] Machine= M02, Status=STOPPED, Temp= 45, Pressure= 63-> Machine Stopped
[2026-05-21 21:38:50] Machine= M02, Status=RUNNING, Temp= 48, Pressure= 41-> CRITICAL Temperature Alarm
[2026-05-21 21:43:17] Machine= M04, Status=STOPPED, Temp= 21, Pressure= 56-> Machine Stopped
[2026-05-21 21:43:17] Machine= M01, Status=STOPPED, Temp= 38, Pressure= 73-> Machine Stopped
[2026-05-21 21:43:17] Machine= M04, Status=STOPPED, Temp= 41, Pressure= 63-> Machine Stopped
[2026-05-21 21:43:17] Machine= M02, Status=RUNNING, Temp= 34, Pressure= 86-> Temperature Alarm
[2026-05-21 21:43:17] Machine= M02, Status=RUNNING, Temp= 25, Pressure= 51-> Ok
[2026-05-21 21:43:17] Machine= M01, Status=STOPPED, Temp= 38, Pressure= 44-> Machine Stopped
[2026-05-21 21:43:17] Machine= M02, Status=STOPPED, Temp= 31, Pressure= 58-> Machine Stopped
[2026-05-21 21:43:17] Machine= M03, Status=RUNNING, Temp= 23, Pressure= 86-> Ok
[2026-05-21 21:43:17] Machine= M05, Status=STOPPED, Temp= 35, Pressure= 50-> Machine Stopped
[2026-05-21 21:43:17] Machine= M04, Status=RUNNING, Temp= 31, Pressure= 66-> Temperature Alarm
[2026-05-21 21:43:17] Machine= M01, Status=STOPPED, Temp= 38, Pressure= 52-> Machine Stopped
[2026-05-21 21:43:17] Machine= M01, Status=RUNNING, Temp= 22, Pressure= 46-> Low Pressure
[2026-05-21 21:43:17] Machine= M06, Status=STOPPED, Temp= 29, Pressure= 57-> Machine Stopped
[2026-05-21 21:43:17] Machine= M06, Status=STOPPED, Temp= 43, Pressure= 57-> Machine Stopped
[2026-05-21 21:43:17] Machine= M03, Status=RUNNING, Temp= 31, Pressure= 80-> Temperature Alarm
[2026-05-21 21:43:17] Machine= M01, Status=RUNNING, Temp= 31, Pressure= 58-> Temperature Alarm
[2026-05-21 21:43:17] Machine= M06, Status=RUNNING, Temp= 47, Pressure= 48-> CRITICAL Temperature Alarm
[2026-05-21 21:43:17] Machine= M05, Status=STOPPED, Temp= 48, Pressure= 45-> Machine Stopped
[2026-05-21 21:43:17] Machine= M03, Status=RUNNING, Temp= 48, Pressure= 85-> CRITICAL Temperature Alarm
[2026-05-21 21:43:17] Machine= M02, Status=RUNNING, Temp= 20, Pressure= 65-> Ok
[2026-05-21 21:43:58] Machine= M03, Status=RUNNING, Temp= 31, Pressure= 84-> Temperature Alarm
[2026-05-21 21:43:58] Machine= M02, Status=STOPPED, Temp= 45, Pressure= 45-> Machine Stopped
[2026-05-21 21:43:58] Machine= M04, Status=RUNNING, Temp= 24, Pressure= 40-> Low Pressure
[2026-05-21 21:43:58] Machine= M03, Status=STOPPED, Temp= 35, Pressure= 85-> Machine Stopped
[2026-05-21 21:43:58] Machine= M05, Status=RUNNING, Temp= 23, Pressure= 48-> Low Pressure
[2026-05-21 21:43:58] Machine= M01, Status=RUNNING, Temp= 43, Pressure= 70-> CRITICAL Temperature Alarm
[2026-05-21 21:43:58] Machine= M06, Status=RUNNING, Temp= 41, Pressure= 86-> CRITICAL Temperature Alarm
[2026-05-21 21:43:58] Machine= M06, Status=RUNNING, Temp= 38, Pressure= 82-> Temperature Alarm
[2026-05-21 21:43:58] Machine= M04, Status=STOPPED, Temp= 27, Pressure= 61-> Machine Stopped
[2026-05-21 21:43:58] Machine= M04, Status=RUNNING, Temp= 26, Pressure= 47-> Low Pressure
[2026-05-21 21:43:58] Machine= M01, Status=RUNNING, Temp= 46, Pressure= 83-> CRITICAL Temperature Alarm
[2026-05-21 21:43:58] Machine= M03, Status=RUNNING, Temp= 44, Pressure= 68-> CRITICAL Temperature Alarm
[2026-05-21 21:43:58] Machine= M05, Status=STOPPED, Temp= 48, Pressure= 73-> Machine Stopped
[2026-05-21 21:43:58] Machine= M04, Status=RUNNING, Temp= 48, Pressure= 69-> CRITICAL Temperature Alarm
[2026-05-21 21:43:58] Machine= M04, Status=RUNNING, Temp= 23, Pressure= 69-> Ok
[2026-05-21 21:43:58] Machine= M02, Status=STOPPED, Temp= 43, Pressure= 73-> Machine Stopped
[2026-05-21 21:43:58] Machine= M03, Status=STOPPED, Temp= 50, Pressure= 54-> Machine Stopped
[2026-05-21 21:43:58] Machine= M04, Status=RUNNING, Temp= 30, Pressure= 67-> Ok
[2026-05-21 21:43:58] Machine= M02, Status=RUNNING, Temp= 25, Pressure= 71-> Ok
[2026-05-21 21:43:58] Machine= M06, Status=STOPPED, Temp= 30, Pressure= 75-> Machine Stopped
[2026-05-21 21:44:23] Machine= M05, Status=STOPPED, Temp= 41, Pressure= 88-> Machine Stopped
[2026-05-21 21:44:23] Machine= M02, Status=RUNNING, Temp= 31, Pressure= 90-> Temperature Alarm
[2026-05-21 21:44:23] Machine= M04, Status=RUNNING, Temp= 27, Pressure= 87-> Ok
[2026-05-21 21:44:23] Machine= M03, Status=RUNNING, Temp= 28, Pressure= 52-> Ok
[2026-05-21 21:44:23] Machine= M04, Status=STOPPED, Temp= 40, Pressure= 71-> Machine Stopped
[2026-05-21 21:44:23] Machine= M05, Status=RUNNING, Temp= 24, Pressure= 72-> Ok
[2026-05-21 21:44:23] Machine= M04, Status=STOPPED, Temp= 46, Pressure= 66-> Machine Stopped
[2026-05-21 21:44:23] Machine= M06, Status=RUNNING, Temp= 24, Pressure= 57-> Ok
[2026-05-21 21:44:23] Machine= M06, Status=RUNNING, Temp= 22, Pressure= 40-> Low Pressure
[2026-05-21 21:44:23] Machine= M01, Status=RUNNING, Temp= 38, Pressure= 87-> Temperature Alarm
[2026-05-21 21:44:23] Machine= M03, Status=STOPPED, Temp= 32, Pressure= 77-> Machine Stopped
[2026-05-21 21:44:23] Machine= M03, Status=RUNNING, Temp= 22, Pressure= 80-> Ok
[2026-05-21 21:44:23] Machine= M01, Status=STOPPED, Temp= 47, Pressure= 63-> Machine Stopped
[2026-05-21 21:44:23] Machine= M04, Status=STOPPED, Temp= 29, Pressure= 46-> Machine Stopped
[2026-05-21 21:44:23] Machine= M01, Status=STOPPED, Temp= 22, Pressure= 71-> Machine Stopped
[2026-05-21 21:44:23] Machine= M06, Status=RUNNING, Temp= 39, Pressure= 61-> Temperature Alarm
[2026-05-21 21:44:23] Machine= M02, Status=STOPPED, Temp= 50, Pressure= 76-> Machine Stopped
[2026-05-21 21:44:23] Machine= M06, Status=STOPPED, Temp= 41, Pressure= 70-> Machine Stopped
[2026-05-21 21:44:23] Machine= M03, Status=STOPPED, Temp= 33, Pressure= 86-> Machine Stopped
[2026-05-21 21:44:23] Machine= M05, Status=STOPPED, Temp= 36, Pressure= 43-> Machine Stopped
[2026-05-21 21:45:56] Machine= M03, Status=RUNNING, Temp= 30, Pressure= 60-> Ok
[2026-05-21 21:45:56] Machine= M05, Status=STOPPED, Temp= 45, Pressure= 76-> Machine Stopped
[2026-05-21 21:45:56] Machine= M01, Status=RUNNING, Temp= 46, Pressure= 79-> CRITICAL Temperature Alarm
[2026-05-21 21:45:56] Machine= M01, Status=RUNNING, Temp= 32, Pressure= 83-> Temperature Alarm
[2026-05-21 21:45:56] Machine= M03, Status=RUNNING, Temp= 30, Pressure= 69-> Ok
[2026-05-21 21:45:56] Machine= M06, Status=STOPPED, Temp= 50, Pressure= 78-> Machine Stopped
[2026-05-21 21:45:56] Machine= M03, Status=RUNNING, Temp= 23, Pressure= 58-> Ok
[2026-05-21 21:45:56] Machine= M06, Status=STOPPED, Temp= 43, Pressure= 83-> Machine Stopped
[2026-05-21 21:45:56] Machine= M01, Status=RUNNING, Temp= 43, Pressure= 54-> CRITICAL Temperature Alarm
[2026-05-21 21:45:56] Machine= M02, Status=RUNNING, Temp= 49, Pressure= 45-> CRITICAL Temperature Alarm
[2026-05-21 21:45:56] Machine= M02, Status=STOPPED, Temp= 28, Pressure= 80-> Machine Stopped
[2026-05-21 21:45:56] Machine= M05, Status=RUNNING, Temp= 48, Pressure= 70-> CRITICAL Temperature Alarm
[2026-05-21 21:45:56] Machine= M01, Status=RUNNING, Temp= 27, Pressure= 44-> Low Pressure
[2026-05-21 21:45:56] Machine= M01, Status=RUNNING, Temp= 34, Pressure= 63-> Temperature Alarm
[2026-05-21 21:45:56] Machine= M02, Status=STOPPED, Temp= 49, Pressure= 76-> Machine Stopped
[2026-05-21 21:45:56] Machine= M06, Status=RUNNING, Temp= 23, Pressure= 53-> Ok
[2026-05-21 21:45:56] Machine= M05, Status=STOPPED, Temp= 43, Pressure= 86-> Machine Stopped
[2026-05-21 21:45:56] Machine= M06, Status=STOPPED, Temp= 28, Pressure= 90-> Machine Stopped
[2026-05-21 21:45:56] Machine= M06, Status=STOPPED, Temp= 21, Pressure= 45-> Machine Stopped
[2026-05-21 21:45:56] Machine= M05, Status=STOPPED, Temp= 20, Pressure= 77-> Machine Stopped
[2026-05-22 20:27:27] Machine= M01, Status=RUNNING, Temp= 45, Pressure= 51-> CRITICAL Temperature Alarm
[2026-05-22 20:27:27] Machine= M03, Status=RUNNING, Temp= 48, Pressure= 64-> CRITICAL Temperature Alarm
[2026-05-22 20:27:27] Machine= M01, Status=RUNNING, Temp= 35, Pressure= 65-> Temperature Alarm
[2026-05-22 20:27:27] Machine= M02, Status=RUNNING, Temp= 31, Pressure= 67-> Temperature Alarm
[2026-05-22 20:27:27] Machine= M05, Status=RUNNING, Temp= 27, Pressure= 63-> Ok
[2026-05-22 20:27:27] Machine= M03, Status=RUNNING, Temp= 30, Pressure= 65-> Ok
[2026-05-22 20:27:27] Machine= M06, Status=STOPPED, Temp= 38, Pressure= 68-> Machine Stopped
[2026-05-22 20:27:27] Machine= M02, Status=RUNNING, Temp= 27, Pressure= 41-> Low Pressure
[2026-05-22 20:27:27] Machine= M05, Status=RUNNING, Temp= 27, Pressure= 83-> Ok
[2026-05-22 20:27:27] Machine= M01, Status=RUNNING, Temp= 22, Pressure= 82-> Ok
[2026-05-22 20:27:27] Machine= M05, Status=RUNNING, Temp= 39, Pressure= 76-> Temperature Alarm
[2026-05-22 20:27:27] Machine= M04, Status=RUNNING, Temp= 24, Pressure= 45-> Low Pressure
[2026-05-22 20:27:27] Machine= M03, Status=STOPPED, Temp= 23, Pressure= 58-> Machine Stopped
[2026-05-22 20:27:27] Machine= M04, Status=STOPPED, Temp= 32, Pressure= 52-> Machine Stopped
[2026-05-22 20:27:27] Machine= M03, Status=RUNNING, Temp= 35, Pressure= 73-> Temperature Alarm
[2026-05-22 20:27:27] Machine= M03, Status=RUNNING, Temp= 40, Pressure= 71-> CRITICAL Temperature Alarm
[2026-05-22 20:27:27] Machine= M02, Status=STOPPED, Temp= 26, Pressure= 56-> Machine Stopped
[2026-05-22 20:27:27] Machine= M04, Status=RUNNING, Temp= 21, Pressure= 66-> Ok
[2026-05-22 20:27:27] Machine= M05, Status=RUNNING, Temp= 20, Pressure= 82-> Ok
[2026-05-22 20:27:27] Machine= M04, Status=RUNNING, Temp= 32, Pressure= 74-> Temperature Alarm
[2026-05-22 20:28:34] Machine= M03, Status=STOPPED, Temp= 39, Pressure= 49-> Machine Stopped
[2026-05-22 20:28:34] Machine= M04, Status=RUNNING, Temp= 47, Pressure= 74-> CRITICAL Temperature Alarm
[2026-05-22 20:28:34] Machine= M06, Status=STOPPED, Temp= 36, Pressure= 58-> Machine Stopped
[2026-05-22 20:28:34] Machine= M05, Status=RUNNING, Temp= 28, Pressure= 90-> Ok
[2026-05-22 20:28:34] Machine= M06, Status=RUNNING, Temp= 48, Pressure= 61-> CRITICAL Temperature Alarm
[2026-05-22 20:28:34] Machine= M02, Status=STOPPED, Temp= 46, Pressure= 43-> Machine Stopped
[2026-05-22 20:28:34] Machine= M04, Status=RUNNING, Temp= 28, Pressure= 60-> Ok
[2026-05-22 20:28:34] Machine= M04, Status=STOPPED, Temp= 34, Pressure= 69-> Machine Stopped
[2026-05-22 20:28:34] Machine= M03, Status=RUNNING, Temp= 26, Pressure= 50-> Ok
[2026-05-22 20:28:34] Machine= M02, Status=STOPPED, Temp= 47, Pressure= 69-> Machine Stopped
[2026-05-22 20:28:34] Machine= M02, Status=STOPPED, Temp= 50, Pressure= 60-> Machine Stopped
[2026-05-22 20:28:34] Machine= M02, Status=RUNNING, Temp= 42, Pressure= 74-> CRITICAL Temperature Alarm
[2026-05-22 20:28:34] Machine= M04, Status=RUNNING, Temp= 46, Pressure= 63-> CRITICAL Temperature Alarm
[2026-05-22 20:28:34] Machine= M04, Status=RUNNING, Temp= 34, Pressure= 82-> Temperature Alarm
[2026-05-22 20:28:34] Machine= M05, Status=RUNNING, Temp= 48, Pressure= 51-> CRITICAL Temperature Alarm
[2026-05-22 20:28:34] Machine= M02, Status=RUNNING, Temp= 50, Pressure= 62-> CRITICAL Temperature Alarm
[2026-05-22 20:28:34] Machine= M05, Status=RUNNING, Temp= 44, Pressure= 43-> CRITICAL Temperature Alarm
[2026-05-22 20:28:34] Machine= M04, Status=STOPPED, Temp= 26, Pressure= 43-> Machine Stopped
[2026-05-22 20:28:34] Machine= M03, Status=STOPPED, Temp= 25, Pressure= 88-> Machine Stopped
[2026-05-22 20:28:34] Machine= M03, Status=STOPPED, Temp= 42, Pressure= 56-> Machine Stopped
[2026-05-22 20:29:31] Machine= M02, Status=STOPPED, Temp= 49, Pressure= 71-> Machine Stopped
[2026-05-22 20:29:31] Machine= M03, Status=RUNNING, Temp= 31, Pressure= 62-> Temperature Alarm
[2026-05-22 20:29:31] Machine= M05, Status=RUNNING, Temp= 50, Pressure= 44-> CRITICAL Temperature Alarm
[2026-05-22 20:29:31] Machine= M03, Status=STOPPED, Temp= 27, Pressure= 84-> Machine Stopped
[2026-05-22 20:29:31] Machine= M04, Status=RUNNING, Temp= 47, Pressure= 43-> CRITICAL Temperature Alarm
[2026-05-22 20:29:31] Machine= M05, Status=STOPPED, Temp= 32, Pressure= 86-> Machine Stopped
[2026-05-22 20:29:31] Machine= M03, Status=STOPPED, Temp= 31, Pressure= 84-> Machine Stopped
[2026-05-22 20:29:31] Machine= M01, Status=RUNNING, Temp= 42, Pressure= 51-> CRITICAL Temperature Alarm
[2026-05-22 20:29:31] Machine= M03, Status=STOPPED, Temp= 49, Pressure= 80-> Machine Stopped
[2026-05-22 20:29:31] Machine= M03, Status=STOPPED, Temp= 48, Pressure= 70-> Machine Stopped
[2026-05-22 20:29:31] Machine= M05, Status=RUNNING, Temp= 30, Pressure= 75-> Ok
[2026-05-22 20:29:31] Machine= M03, Status=RUNNING, Temp= 25, Pressure= 81-> Ok
[2026-05-22 20:29:31] Machine= M06, Status=RUNNING, Temp= 29, Pressure= 67-> Ok
[2026-05-22 20:29:31] Machine= M04, Status=RUNNING, Temp= 24, Pressure= 42-> Low Pressure
[2026-05-22 20:29:31] Machine= M06, Status=RUNNING, Temp= 32, Pressure= 64-> Temperature Alarm
[2026-05-22 20:29:31] Machine= M06, Status=STOPPED, Temp= 39, Pressure= 72-> Machine Stopped
[2026-05-22 20:29:31] Machine= M04, Status=RUNNING, Temp= 49, Pressure= 49-> CRITICAL Temperature Alarm
[2026-05-22 20:29:31] Machine= M01, Status=STOPPED, Temp= 20, Pressure= 74-> Machine Stopped
[2026-05-22 20:29:31] Machine= M02, Status=RUNNING, Temp= 35, Pressure= 83-> Temperature Alarm
[2026-05-22 20:29:31] Machine= M05, Status=STOPPED, Temp= 30, Pressure= 45-> Machine Stopped
[2026-05-22 20:30:19] Machine= M05, Status=STOPPED, Temp= 34, Pressure= 42-> Machine Stopped
[2026-05-22 20:30:19] Machine= M06, Status=STOPPED, Temp= 37, Pressure= 76-> Machine Stopped
[2026-05-22 20:30:19] Machine= M04, Status=RUNNING, Temp= 49, Pressure= 55-> CRITICAL Temperature Alarm
[2026-05-22 20:30:19] Machine= M03, Status=RUNNING, Temp= 20, Pressure= 83-> Ok
[2026-05-22 20:30:19] Machine= M05, Status=STOPPED, Temp= 20, Pressure= 65-> Machine Stopped
